time,LLC-store-misses,LLC-prefetches,LLC-stores,LLC-prefetch-misses,instructions
73.012047472,33218,115316,173509,69185,65554811
74.012216432,26742,138926,176663,58611,51869632
75.012388202,31065,175491,167673,81373,76227631
76.012552278,38628,203459,156771,90889,62133212
77.012727823,111053,1431000,624266,196450,297558280
78.012874824,18360,249548,74945,81634,23681179
79.013015261,116258,1335843,464345,217197,364732735
80.013160994,30677,246361,103470,112548,69945077
81.013331528,17291,178969,104924,69335,75982162
82.013474243,28011,131792,90184,64909,33496328
83.013621502,39499,174976,177021,64178,110333785
84.013774272,25109,113028,96123,81925,43496129
85.013914045,20974,226789,112820,56854,79287134
86.014058811,42222,444938,185411,203099,87904879
87.01423347,23131,209350,102531,89989,52964887
88.014387015,29414,202779,134543,57656,50859563
89.014531152,16811,189682,108524,58320,50061202
90.014677797,62062,312452,161964,114294,99597872
91.014819499,17327,264144,130238,85945,52395640
92.014960235,83950,683762,220633,173623,190180690
93.015107352,40984,119239,185329,63103,54954743
94.015270603,14315,52653,86946,28100,30845412
95.015438903,50874,248573,193466,41805,58313994
96.015626018,27007,177952,165674,78158,57213840
97.015782648,20910,175364,107130,43290,45079925
98.015957146,33751,226031,138403,132647,70447570
99.016105598,37998,271387,195040,136608,94727426
100.016277498,32423,175313,163668,94421,88313871
101.016428922,25328,150380,108825,59737,71137694
102.016584445,28405,241072,96721,117249,65622997
103.016739003,19542,182329,75772,86460,37121185
104.016931319,472823,3615411,2358006,676201,958241004
105.017119649,64317,1219587,462092,166368,250995737
106.0173282,737,8322,46110,1075,6823670
107.017532661,321,8672,10120,533,972411
108.017717391,3087,7995,15630,1502,1599025
109.017903263,3449,1579,10727,1643,971940
110.018068606,3886,973,10963,1738,993308
111.01825531,3265,434,11738,1946,973283
112.018430291,3296,1829,11137,1847,962780
113.018617856,66757,569729,302835,217655,144179696
114.018840176,20012,190047,99860,52969,43956309
115.019018707,26899,173983,108867,96433,57825057
116.019170207,21204,203145,98405,63841,40284612
117.019314654,21788,130511,102155,36059,38478269
118.019511273,31635,171696,108420,90349,54429229
119.019729551,25255,193871,144216,66037,71299542
120.019981095,20184,180289,99881,97777,59767784
121.020165333,30701,178796,126773,45264,63154848
122.020326163,22326,202358,96518,114104,66522973
123.020477928,18796,184529,104296,68434,43231813
124.020670327,89627,1099235,286200,156504,200360755
125.020887786,19730,190520,87848,81218,36514556
126.021085182,55983,669027,917062,183904,285724643
126.169420256,19306,250156,433651,107507,122205801
