time,cs,cycles,instructions
73.027700887,556,3123535546,5431832509
74.028083993,535,3074796457,5419154452
75.028463933,560,3156376234,5441704771
76.028844757,508,3132212816,5436635577
77.02924358,586,3167455070,5456389007
78.029621162,484,3112404619,5418313592
79.030000463,490,3118369392,5417534613
80.030393511,578,3153880670,5430332155
81.030768744,524,3122088716,5439806233
82.031161612,554,3168446472,5469227562
83.031532254,554,3106926591,5429024327
84.031945444,543,3087466637,5425465036
85.032324339,562,3124319068,5432511292
86.033175974,970,3145637884,5035052804
87.03358882,718,3669262960,5621081733
88.033985544,509,3188585402,5500686405
89.034365492,570,3237091586,5475901190
90.034735561,566,3130390581,5412259248
91.035130932,517,3091692222,5397632047
92.035508867,530,3142743320,5414576576
93.035880219,565,3135099042,5422211320
94.036260191,494,3102430161,5433553220
95.036640149,548,3124529341,5419912844
96.03700701,531,3105596971,5415788925
97.037406105,551,3167050447,5442738143
98.037783742,519,3112331212,5419058754
99.038161902,498,3136870912,5428928567
100.038535858,543,3152125117,5413900886
101.038914466,500,3112775338,5419384944
102.039300824,568,3164488319,5454498037
103.039669842,585,3151807045,5401993336
104.04004939,507,3085958671,5403622769
105.040430172,494,3221434465,5442045428
106.040818446,590,3180012076,5429405579
107.04122012,517,3115058644,5410026608
108.041599127,536,3201389185,5463354146
109.041960326,796,2940103244,4932518973
110.042320124,933,3543597797,5497160589
111.042688509,540,3102934038,5439242160
112.043067607,513,3124059438,5451280556
113.043451519,581,3236389191,5427943038
114.043830109,539,3070475387,5391400936
115.044270242,552,3120227732,5402432298
116.044667963,553,3124725149,5449998730
117.045045669,494,3122794321,5464718084
118.045429758,580,3159868035,5441434006
119.045797958,493,3125123036,5423638929
120.046172828,493,3114599969,5441204961
121.046549921,558,3181523934,5470863123
122.046949231,510,3150966228,5478220905
123.047322736,589,3203501590,5502570395
124.047686864,493,3121026719,5460737340
125.048070689,512,3149334994,5470246928
126.048443189,579,3145812794,5449041272
127.04882316,496,3072624362,5431543040
128.049222503,560,3132431242,5431212568
129.049617769,518,3113212344,5408561081
130.049992179,502,3104546525,5404527342
131.050362967,544,3132907771,5419694312
132.050766057,893,3055336306,4971799598
133.051140875,765,4303458160,5984991567
134.051531714,561,3141473725,5470483599
135.051907007,524,3099006651,5435567818
136.052297553,577,3150192477,5478339273
137.052700795,512,3099164354,5476077687
138.053076603,558,3158920129,5492556462
139.053468392,566,3107576720,5466156965
140.05385335,541,3139929738,5473648292
141.054224178,518,3123271532,5485843084
142.054630604,547,3121273540,5474708296
143.055024134,561,3147459158,5470839421
144.055401313,531,3142136408,5503298572
145.055789379,550,3194393080,5497958390
146.056168357,524,3121964160,5439223698
147.056564194,512,3119680698,5436642114
148.056940598,524,3138002281,5457755979
149.057331552,580,3116228932,5476284437
150.057716057,541,3158695174,5479268215
151.058091983,496,3154091596,5480907737
152.05846357,553,3157845598,5492604655
153.058833433,500,3094700564,5418050346
154.059208276,529,3193424910,5373153329
155.059593207,1156,3403129579,5029237484
156.059967259,537,3056015456,5290244797
157.06036229,538,3112827721,5378306926
158.060764441,589,3084957531,5355323751
159.061136034,576,3068349188,5356278598
160.061514884,542,3008653276,5311448944
161.061883812,623,3107254707,5334934188
162.062251082,613,3126066168,5430963908
163.062639444,519,3102157882,5363742017
164.063009103,545,3026544710,5327241247
165.063388139,649,3111160603,5396761645
166.063779492,518,3066459650,5363574902
167.064162042,505,3101392209,5401413989
168.064540587,590,3066286414,5322216492
169.064938932,583,3103578436,5337678662
170.06531927,552,3016753848,5334211904
171.065679395,546,3044733556,5317916670
172.066056943,619,3046850603,5328232031
173.066433658,541,3013442822,5320207689
174.066803919,530,3026449672,5317477589
175.067196134,605,3054532514,5312131702
176.067600554,544,3067489271,5325057822
177.068009172,548,3033074137,5322242536
178.068455332,543,3169059556,5503209487
179.068834689,1244,3462353996,4878228055
180.069266732,516,2986379184,5298672165
181.06964812,571,3082612344,5375685408
182.070022607,523,3020764594,5368541500
183.070404155,559,3037607907,5399823841
184.070792033,511,3023278921,5407254479
185.071176206,537,3070936447,5416545399
186.071577905,563,3040687894,5406352092
187.071977941,506,3013986992,5402739083
188.072375025,553,3030530902,5404651157
189.072745163,506,2998970922,5360322647
190.073137014,521,3007527841,5371074332
191.073517628,555,3037449868,5383530016
192.073898789,577,3021792977,5387515005
193.074274322,519,3037535142,5375248327
194.074656462,510,3093964791,5396987934
195.075064881,549,3047677755,5368483785
196.075438687,567,3012209287,5375311903
197.075823192,513,3031432920,5420618021
198.07622967,526,3124541966,5382906281
199.076629351,568,3019763532,5375056886
200.0770152,517,3015575499,5393515092
201.077396001,556,3055658287,5420350836
202.07779466,994,2267310949,2515510481
203.07817934,570,4276742156,5690299861
204.07857747,519,3135509688,5450655296
205.078957765,565,3038264579,5457745039
206.079346873,531,3019121306,5405968264
207.079718999,561,3003020577,5388020199
208.080111047,489,3007776420,5400832754
209.080810096,6377,8167877561,6897921698
210.081329576,2452,3751645385,2587515353
210.148614104,32,16878099,12286485
