time,Instructions Retired(user mode),Unhalted Core Cycles(user mode),Instructions Retired(system mode),Unhalted Core Cycles(system mode)
28.004301669,72406678,84937304,1042478,3006625
88.044095628,56004577,78074177,773197,2941788
7.001046215,4559375529,4868167986,13964379,39071836
69.041016160,56130978,81684967,822479,3033749
221.500516156,52772461,49949392,801509,2451247
84.043499969,88539927,115776103,821629,3114874
216.499802721,52460815,46265122,708680,2062388
145.052477587,16051563,29537728,399037,1722377
122.049046877,54358425,73406827,710224,2440491
106.046667047,54869624,77072182,804412,2935324
239.503153472,52333022,69390962,775878,2598948
256.506012430,1164000,5286441,196879,1058569
31.004775899,57650687,80124856,816563,2750498
117.048307548,54520107,52350006,713474,1910197
204.498021614,65908796,83663078,840625,2659960
234.502418340,51946803,45291939,707316,2037017
66.040570929,57122375,97541029,949047,4117999
229.501647942,52468441,46457348,723085,2091898
232.502118695,52273739,68635833,674555,2226206
4.000589066,3925734,7187828,1068825,3357044
150.053179076,59583467,59122262,752353,2125732
95.045132829,55681418,76493666,753064,2527671
93.044847009,91025149,105686187,811384,3178866
98.045555724,120116989,118432245,811193,2423548
58.039392935,76747495,112002299,905439,3156479
237.502868693,77422898,103756108,735952,2630330
45.006946229,113124392,163405428,960630,4455247
240.503296940,51876268,69392930,714277,2494062
59.039542961,51922949,64714752,673645,2104550
131.050393676,71926142,66945802,738073,2094489
3.000420675,4690387178,4118172127,47679145,75410414
185.495143932,54359993,75092972,754572,2581757
200.497431584,52915803,73335786,868225,2965854
61.039835724,64119682,91471717,885629,2942503
225.501062573,148534436,137709695,780210,2457498
166.492194237,61972813,84766429,833572,3048080
16.002390849,16964214,21920440,459779,1679460
248.504660405,989266156,1024373861,24198763,74327540
92.044701151,58446517,82466552,777671,2591305
245.504069089,52383784,43387086,738368,1984046
14.002014752,1512443,5319406,153058,726499
167.492490822,53149596,74789989,743214,2644240
215.499664924,61804035,87473118,848803,3372939
29.004455129,129873308,200726251,1523697,6178898
127.049797572,55209431,77570838,761875,2942390
24.003703860,65947730,82764414,861287,2678256
126.049644422,87389575,127106945,1694413,4856854
40.006169242,60197082,62360411,758975,2261980
55.038941183,56972858,55669588,786918,2401046
254.505700380,1119872,4292580,147273,736864
178.494113514,57164536,59415356,721503,2238263
151.053314512,61769365,75392160,764641,2464921
99.045692820,92648175,129700195,775631,2824497
74.042041409,64890372,63677585,916186,2427101
212.499214481,52966306,71800196,745779,2601966
15.002176694,1512969,5281462,141822,712140
177.493982098,120211006,117315258,1395236,3452784
128.049952957,69650128,90847316,841438,3032879
226.501212054,67212572,71985428,1448664,3297124
94.044990368,55276729,63620553,725726,2317823
146.052621011,62021318,60904784,801172,2626863
50.918878097,65802275,100392645,857659,2900730
252.505393021,1129054,3067880,159543,606774
64.040259105,57627440,55607349,771736,2350373
188.495593615,52992602,58969469,781000,2391331
54.038789709,57472177,81528895,828665,2683241
157.054189560,62340804,80466377,812717,2628049
53.038642876,57073976,77645455,830075,2585813
214.499515613,52502222,48268825,719450,2089996
133.050674177,325361568,285866505,952500,3214446
199.497255184,52983922,47882295,728992,2026733
30.004616144,58951752,95353009,806343,3109576
121.048910865,131870945,107628995,776921,2399579
242.503587146,64452799,91785890,1318423,3824070
97.045425400,55546819,52924971,763787,2414448
266.507808661,51163546,45077374,709181,2037283
233.502277701,52374089,71436813,732343,2558311
182.494695003,54051573,81022137,833906,3234378
213.499376383,59384693,81095346,738689,2540826
142.052029958,53845166,48486791,752588,2261231
90.044386509,65448621,98555116,890673,3483884
105.046529825,54798041,60685313,755639,2426063
270.264034000,452306989,601297271,25050911,39525039
168.492658761,167617983,200719037,805175,2853916
33.005083683,58337381,67817692,848077,2450248
71.041313402,73857450,116362150,907156,3231769
263.507261783,89343073,75458270,814077,2348800
75.042186054,70045249,97030953,830293,2886263
194.496454804,64721797,99217548,1559336,4095719
137.051302833,58169815,80115122,751415,2561561
23.003547714,56510600,87227119,840692,3156869
211.499058888,54443826,77085432,798736,2740572
158.490781351,124079689,112843371,1616102,4524139
184.494996957,53121226,102938995,835198,4236212
51.919059258,63308785,58437898,765362,2214551
21.003245034,72097796,104819846,1437715,4031987
8.001184975,5242561420,3009421264,20289500,43361437
183.494842887,142723385,194592566,959031,3541353
261.506870165,50256027,43594508,707359,2147257
123.049196601,81770905,108522361,761178,2699719
138.051446778,53852928,65190564,722357,2355675
119.048618261,54495463,51527136,1143245,2783615
70.041167543,80837578,135531676,1285316,4724002
34.005240838,59201721,87982895,870378,2963227
2.000270822,8175342835,7099708498,69926106,172221769
228.501493736,93939978,101890481,756821,2175800
147.052753422,53635653,73539673,729658,2601680
159.490912411,53760372,48498633,745827,2181824
223.500795989,265522438,246795401,881359,2943837
148.052893912,53958263,75229553,729050,2560322
255.505873030,1119872,4267012,140116,651755
153.053610674,53338542,71164766,728808,2433233
149.053036686,53407157,73489103,709734,2442559
222.500654173,72324343,65319750,771649,2195695
224.500927740,56393712,51071452,717134,2110948
112.047551649,55699500,59997721,767389,2318885
9.001295730,4408552999,4854996489,12455219,48620387
17.002603910,1643579278,1128907807,8893338,15949876
56.039100937,56603634,82487685,807356,2679472
172.493229911,53035800,47868098,709898,2188443
189.495740786,53550493,78501755,874796,3137451
253.505565441,1119802,3482767,153799,633102
37.005691629,57274660,77189211,783568,2579770
129.050092906,336775316,275875010,890188,2724253
103.046255991,55235858,72111468,743505,2536231
175.493660008,52989076,47257306,712960,2073802
13.001866863,1630245,6178552,149367,729679
67.040733570,56468346,86495039,842488,3281935
109.047124314,59343705,83120679,777326,2929751
219.500217381,52492500,46871071,750687,2216800
77.042518605,273769749,316011872,873608,3171579
247.504465117,33970,231001,63484,234564
118.048463587,60001366,58236986,2055701,3142580
196.496759410,52890701,73877697,898010,2986374
220.500363815,52884607,47566279,731776,2140612
165.491847162,53622914,49923192,738865,2192446
89.044244540,311516764,414821605,1414233,5731278
241.503443523,63736415,81589265,758141,2698709
179.494249714,53920014,71695226,803250,2995950
81.043091645,57172613,55105162,741134,2318492
73.041889387,55734643,79815547,719025,2336869
201.497575045,69713606,93176529,833977,3070739
236.502724576,52371435,46216315,714776,2005665
206.498310401,52811781,73132378,817686,2798881
18.002773855,86134519,81831282,1004212,2729328
20.003086565,1560030426,1514103986,4666006,12658200
262.507054756,62817662,56048550,727505,2110552
155.053895649,53348457,73038248,712365,2448489
48.918564249,56862531,84795791,836812,2836863
208.498602768,304864384,255837561,903857,2869107
96.045274402,94263962,90564256,2162615,3606964
68.040873750,109236827,168723346,923092,4057914
91.044552955,150320261,221496644,2172412,5671300
207.498453984,52773837,72904377,859250,2893919
174.493527013,58835769,57035134,749627,2059889
78.042663865,57282341,80104214,748867,2513444
111.047420690,54711456,50553986,719790,2032507
107.046801070,35579324,39289848,614995,1983279
218.500073584,53356270,48487528,814333,2222711
83.043364400,57124628,80217641,730170,2546266
246.504277863,87828874,79580597,1363993,4012658
63.040121594,56913161,81222779,843256,2815119
19.002930114,1088404926,1307315846,4095261,12649056
82.043232664,62776761,63846279,752621,2260049
60.039692314,5081753,16202612,222640,946938
110.047264957,68671427,94830100,792462,2853966
176.493851712,52986324,47024785,710218,2006535
202.497713744,52897446,73365252,848338,2894504
120.048770659,54980743,53794682,1429540,3270366
140.051729260,53860169,72898027,739333,2575226
1.000096532,3773721238,3536920127,128711325,215069067
104.046394572,55250977,50376506,709987,1884079
210.498904969,64512348,102376322,1710847,4710517
