time,Branch Misses,Branches,LLC References,LLC Misses
33.005435585,578271,10786862,1086627,163900
45.007180215,1009609,17515661,1656164,202038
162.361552094,180901,1996214,307696,48924
66.010320308,618661,10625428,1241244,242649
164.361824142,942211,17993607,1123515,156490
36.005878940,688217,12627031,958698,181747
195.366349208,1044925,20211577,1618874,173990
187.365191382,1625581,32274667,2142054,192662
215.369329751,476096,9941906,955726,127753
55.008697424,575219,10916923,1006964,152262
49.007800649,587635,10665125,1096894,185243
120.355490392,1032034,25228231,1528349,157179
253.375321690,86193,1812529,147667,46827
91.013982444,1217361,28364499,2062882,199872
236.372466220,710370,14710830,957419,138246
203.367610682,607556,12196306,1057836,162865
188.365330541,441233,9817633,780436,118726
204.367752733,450841,9772760,933426,127709
68.010623668,1543180,27872448,2107303,358500
216.369490260,459993,9781017,937520,119363
150.359808929,462366,9909258,803325,112892
86.013261185,601576,10497517,1155640,250496
239.372879454,531754,10936561,819480,119091
80.012403960,35906,300796,71700,34187
194.366192316,451798,9792293,930381,132378
3.000493047,39946010,795605136,58673487,2783778
15.002453624,59339,284320,96903,23461
155.360549380,458347,9827450,775684,105144
115.358063652,658252,12339245,904144,118158
88.013530468,578713,10532178,894200,173596
189.365474767,541101,10361639,1020573,166537
89.013668284,1038687,17082867,1582872,282160
103.356262302,514817,10151925,821964,111607
76.011837083,683610,11895961,1141195,159125
82.012684469,554962,10469240,854511,124825
13.002175485,1262259,33269038,2413809,158271
61.009544989,681348,11982309,970472,137923
158.360972575,577082,14376599,1019091,198313
234.372164485,421800,9621860,760223,109394
65.010158849,618746,10969928,1104835,267425
143.358785423,477664,9921496,836041,137253
192.365907532,556461,13103795,1002828,204471
246.374139818,54495,226708,91646,1872
28.004653639,656182,45013521,1131037,358854
227.371116353,450480,10228765,796180,123697
165.361954279,453455,9813754,786428,119430
258.376169891,626732,12647379,915473,122566
191.365758582,458386,9832852,982471,148420
38.006165209,630121,11199902,1129977,194314
201.367290058,450342,9765590,944100,127934
199.366969393,445184,9703904,941367,128294
233.372018174,430989,9696593,771015,113306
52.008258762,217985,1651235,239277,43389
10.001637152,31747645,567875958,44555760,3819331
35.005721333,575807,10665460,1053882,155695
40.006467227,607147,10981135,1047048,144287
117.355041584,1014100,20095694,1808023,217715
247.374305335,65175,332045,109435,1777
54.008548653,558943,10575723,850770,131776
163.361685415,460700,9832617,905115,130734
105.356589366,596571,13651493,1039209,198996
19.003208554,6643386,265461051,18640402,2865790
107.356859801,548925,10049600,1116050,200073
168.362360180,1358692,32342888,1858862,161000
27.004476826,926561,17721354,1280319,157940
67.010479443,630877,11314311,1011352,178365
190.365614716,483150,9790634,1156723,158444
153.360237344,465066,9828089,780159,107032
62.009697124,581122,10736426,972289,175906
202.367445002,438039,9687576,921632,125289
208.368345083,2467041,59321691,3863406,450605
144.358943119,463423,9839620,836611,170129
95.014530249,543441,10579427,839660,122050
109.357167832,598638,11270428,878953,118019
264.118596182,6889930,67688499,9804498,654399
252.375111132,1460536,34805027,2470588,369959
207.368197643,481405,9784909,1015414,157351
149.359648844,481062,10031065,806471,115542
180.364042257,2362498,58373574,4614109,791525
99.355703713,1002676,17071356,1080080,156245
157.360841465,639600,12814274,953633,141465
193.366050181,469058,9845533,957782,125845
230.371568726,428595,9693108,769415,111077
81.012546588,1536963,27264990,2008047,171600
137.357956480,472738,9847272,959687,107480
156.360699486,590167,11565909,846509,130584
6.001056324,52354513,817473506,60264881,2512491
254.375488341,405715,8544714,677176,73830
8.001339162,14302830,944941864,46346180,1552773
5.000905420,41988673,1052107462,75392193,6710129
121.355618236,498614,9999803,960530,116087
73.011400016,587533,10582597,1103742,155588
171.362787530,550910,10888328,849186,129717
232.371870371,421237,9617548,760088,108327
177.363607933,480492,9967826,797754,106623
22.003693758,760814,13545399,1258722,214378
25.004156205,1134897,22083001,1948920,211909
4.000684992,147601,959853,252211,24959
75.011693253,710867,13038525,986426,151967
205.367898666,424648,9691011,773207,122700
87.013394753,726154,15099575,1127844,264869
135.357671812,645461,12412448,899739,126050
12.001981875,35863540,661702961,43883118,4203271
226.370947468,438550,9779484,781246,117389
174.363201202,452415,9858823,785387,110839
241.373167398,700667,16802358,1084679,211422
134.357537202,681298,12792153,932770,136100
2.000310076,79163975,1541620877,83793987,6731919
185.364913126,465736,9820761,945499,192379
256.375790279,400020,9314980,758731,111038
245.373955140,64791,332774,112252,19579
251.374939437,51359,220025,111122,23937
46.007334592,835766,13622880,1486380,246358
170.362650802,456154,9871564,795209,128215
30.004964152,884416,16822829,1462114,280374
231.371725632,421089,9617124,766001,109306
225.370782234,939602,20607264,1264709,215882
43.006892395,708098,12339590,1187421,227242
119.355346264,489992,10034456,852767,123210
108.357024924,590911,10939516,962252,138506
148.359508108,484180,9833081,997337,111070
48.007651792,783607,15441495,1383305,294409
145.359086206,575221,11369143,850861,162659
242.373344864,665007,13225077,1003768,140673
219.369915159,1983059,46618661,2824930,200070
210.368643448,461247,9926331,787294,116504
184.364706391,458916,9822448,958450,125960
221.370194764,433391,9746414,777958,118446
238.372735270,122120,1037637,207950,27194
198.366814192,435444,9765742,777285,124513
159.361103312,511608,10214801,818090,111121
176.363470714,578324,13154763,1161650,335071
214.369193554,442295,9700796,912495,114554
21.003544945,3309344,150791711,8009749,2451855
257.375970580,402927,9335168,752229,107682
79.012269496,743175,13164736,1088196,150197
140.358370280,473398,9923724,800645,108316
63.009844335,619070,11025103,1041989,182238
136.357801259,485768,9859561,959063,107902
141.358506666,574373,13438172,1005743,183296
77.011988430,2438103,51726057,3165416,243019
26.004327194,859809,15818780,1433082,252919
47.007513632,582511,10456912,1006873,188140
131.357093044,538184,10776344,989156,120863
85.013101697,786678,13448281,1303982,295616
74.011545009,566280,10980725,877671,135293
263.377028135,431660,9655210,768444,96930
217.369641963,447990,9778145,794782,120521
248.374505793,53676,224040,91303,19857
262.376829451,417563,9506006,762065,117846
98.355552851,542103,10371703,925064,129484
106.356741087,608491,10448917,1214617,207612
104.356431339,833957,14420848,1011402,149942
16.002628311,58221,290767,94392,22519
259.376330238,568640,12090927,863754,107243
42.006749906,587484,10622624,1030717,184986
20.003382750,5012412,186671479,16952793,2900264
244.373753086,13561047,198987570,18356157,1221899
181.364199895,620279,11906713,1137104,288157
167.362229734,457477,9835299,791241,132324
160.361275638,476569,9901050,796510,104499
17.002840792,9572354,387283546,22904763,2385446
196.366510288,662432,15374782,829702,90836
197.366663908,509275,7469326,711010,92338
69.010771137,564517,10544927,864214,146922
84.012959387,2772603,54825593,3549916,309505
127.356541874,512954,10142045,1189039,206860
211.368780491,532974,10989996,809860,127729
58.009123858,589841,11124367,867519,147523
151.359966763,464708,9919945,794529,114213
128.356677548,798243,14215221,1069980,141888
206.368046026,476486,9797167,1120944,186831
138.358100794,557010,10797730,921407,135955
114.357919899,529871,10393116,846357,124555
31.005117011,563001,10592196,1041754,178333
183.364464731,1705366,29413038,2070966,207797
200.367120141,444487,9761870,941176,124719
255.375646785,401994,9347254,762350,125300
235.372329961,419212,9611490,758335,109415
39.006328167,753445,13025907,1194767,183731
72.011243618,556984,10533631,852746,133285
139.358230755,560864,10992914,857312,127299
186.365056207,452664,9818951,915623,222164
172.362926306,447023,9774129,776534,108990
222.370338937,861070,17535173,1144480,151102
60.009406211,615547,10685913,1114844,145853
70.010938592,607079,10878620,1131277,208832
126.356374163,789769,13310615,1359093,291047
18.003043416,521932,10566821,859819,94212
260.376470615,413871,9466645,750079,113785
59.009253447,803920,13580717,1132203,162757
78.012143099,558793,10491280,848837,132703
182.364332557,472463,9999530,956403,182911
130.356953973,488409,9944886,1006547,113036
161.361412197,598877,12192360,646573,105053
175.363337311,446797,9777791,773139,106922
132.357233872,880439,15885111,1372876,142895
218.369774857,601353,11722021,867559,132661
147.359362731,502825,9865900,1193894,154514
213.369063126,579134,11299039,997510,135080
110.357306643,490338,10038490,813474,107575
261.376630272,409890,9472080,754039,108521
169.362495987,820189,16565568,1061756,132209
173.363068258,963883,18330795,1209289,149242
154.360379269,475789,9931536,792400,112589
101.355991738,519550,10178710,959373,126667
209.368497058,560280,13156595,1057341,227122
250.374806859,51078,219200,93161,24117
32.005290502,570654,10578349,1036553,217397
152.360103352,467709,9915756,790161,115535
51.008112622,467414,10366543,771405,146923
