time,SB Resource Stalls,Total Resource Stalls,RS Resource Stalls,ROB Resource Stalls
53.008906945,8786305,25676701,7379101,1159495
58.009634366,3906709,12651643,6371469,1049724
149.023216614,7381790,23061821,6957938,1003658
179.028196156,5364219,16035068,9049022,780828
72.011772040,4013117,13593995,6928848,1247954
112.017652486,4002727,12227936,5431403,999556
4.000614885,513995,1868708,1051346,149445
125.019551595,2834262,10557706,5792334,937934
39.006755417,8082694,20249401,5274665,838054
138.021550465,7096161,20244539,5485438,893510
50.008463811,9173912,30794089,13430503,1071257
63.010393357,6127386,14160766,3772301,464998
49.008320967,4263123,13650242,6841862,1170859
153.023828174,4145641,15322031,7679792,1668563
164.025743610,767707,1453814,499627,25452
160.025046187,380241,1116034,700619,17079
104.016497254,5795456,16588413,5846071,570075
124.019414718,8468443,53966678,33623826,2176229
161.025216721,219963,523951,268838,28432
5.000775376,210224076,1082077319,561103141,79843006
62.010246931,7761203,23648131,8646696,1739992
117.018386737,3441138,11615874,5951854,994934
30.005374962,6137125,15127783,4596666,837462
65.010698632,4550883,14585361,7381851,1249098
148.023055186,6171601,18925640,6562604,879836
37.006453825,11090325,32991114,10000111,1418370
20.003091391,53921185,566000721,210113564,50609553
128.020059364,8624158,55869529,34570901,2255010
158.024665525,62037865,181585717,92926296,6815898
173.027273777,1953735,7883042,4601938,647318
68.011154038,9128311,26060349,7241847,1084238
140.021841533,3282808,12153707,6384887,1131959
38.006605973,6899013,16937508,3749010,677619
119.018686942,4894548,19436155,9084723,2012553
17.002615953,6858125,34768729,20878309,2111353
85.013717553,10316397,47429667,19784068,1623167
175.027575039,2889208,11328623,5988158,1187785
94.015034243,7914228,21457393,6267464,831153
16.002427471,44820747,421982242,238279714,27313472
137.021387972,7875929,29777318,11476038,2509758
45.007701054,5146142,16928092,8010441,1243793
26.004786345,6268243,16165391,4183490,689658
118.018527262,4638187,11946434,3301623,434199
43.007382634,6611359,16241750,4113907,630044
40.006924750,6451084,15499864,3379665,642126
92.014734808,3682140,14031321,7418526,1258217
41.007073294,6639727,19596009,7953108,1222795
150.023372015,7155981,24347821,8632218,1000419
99.015768696,3213677,12014701,6337053,1171469
157.024472867,2193086,8249389,4761959,651218
33.005845408,5371007,19093175,8465460,1250798
7.001042499,229123296,868719345,497366581,39717821
31.005524911,16960794,110442900,51318498,3022538
35.006143131,8687050,23918690,7017799,947075
46.007837630,151655,407257,93855,19976
167.026250009,5128045,22737745,13889857,1705534
93.014887437,6070101,16185095,4402513,627933
114.017938462,3174102,11569763,6105875,1008344
111.017512397,4551585,11933920,3344940,454580
1.000111027,223722562,604738513,302769682,25501730
168.026422043,3060746,14792849,7627045,1222591
131.020509273,5748300,18102751,6221257,1000695
122.019126653,3620504,12806656,6023095,1115246
81.013130436,4215365,14589640,7337910,1168742
90.014438912,4737109,19550478,9440314,1217725
96.015335596,4164410,12797930,4666563,631197
107.016930048,6421646,26371231,13503442,575154
8.001189412,63855352,902226163,661308938,23360649
105.016632327,3606336,14036379,7589567,1191185
28.005078928,7690649,22974302,6670669,1024812
54.009049571,8900883,26329803,8134795,1133333
152.023664505,6772307,21484378,7182752,911796
156.024278163,3265830,11668339,6260731,1036816
74.012068771,3849502,12328056,6297642,1034655
86.013858081,3706364,12684536,6409989,1118094
70.011459873,4513965,13039156,5917128,1105679
155.024103749,4907914,19282711,8011928,1985010
3.000418004,159656083,863281762,476786255,53107089
103.016358108,5188603,14586024,4816914,595891
48.008157851,7215183,17026302,4262907,645863
98.015623226,3113398,11209182,6015493,1006753
15.002205360,735687,1570232,698955,41443
126.019704380,4518092,20740764,12320570,1248112
88.014154908,4931978,17191882,8186991,1195631
23.004334851,14812878,59276255,13697659,3443722
79.012846428,3844669,12485315,6470151,994345
165.025878744,515083,1530145,790631,63429
147.022902068,8217889,26709886,8131821,1254818
34.005988500,3949505,12833251,6714401,1019805
69.011330064,7998698,23202459,7505860,836527
134.020959668,7666833,24328117,7691064,1087149
22.004173073,1355494,2612756,867911,35530
115.018103726,3124180,11381569,6119799,1031864
97.015474901,6551138,28991020,15625021,1749763
75.012208777,815147,2724739,1361816,264376
10.001480508,166691924,762321209,440485532,50858986
110.017354039,2398151,6319931,2151814,247677
91.014582560,3170385,11593341,6260296,1041136
146.022747453,4731931,15523780,6424923,1264990
116.018245755,3266153,11736635,6090919,959128
21.004010998,7671100,24980039,7030683,1259470
136.021235816,4099288,13968274,6814550,1276212
87.013997510,3288157,11938800,6217754,1032891
100.015919329,6690892,22962275,7766453,2076099
6.000898742,218572244,831891083,484695555,43608209
132.020663460,6595987,21523637,6250023,1109534
24.004490007,6972372,20639388,6270315,888686
11.001604516,232720324,838121043,430354627,46405999
27.004933964,6132517,16571580,4482949,695668
177.027834738,2918469,11470827,6226001,1104049
