time,SB Resource Stalls,Total Resource Stalls,RS Resource Stalls,ROB Resource Stalls
237.050010046,7900061,21858912,6925722,1569732
141.028203125,3096057,11686017,5966526,1118796
180.040390933,2596001,10050442,5509440,912659
43.006505930,1434901,6055968,2870353,566270
23.003494621,7121154,19099371,4663257,813650
21.003158565,68354594,739834441,243771068,38982138
38.005799825,13719994,49577960,14832066,2117252
174.039529658,6080801,19817738,7018019,770218
47.007130148,3818443,11944628,6143742,952232
55.008694188,264087,533047,266465,3650
101.022376055,5132090,13925361,4050015,580222
57.009048804,529062,1299951,661309,34201
164.031541836,5342251,17925099,5953028,812749
189.041765716,2492321,9849302,5425920,957404
167.031957110,4059308,11116990,2702141,496527
212.045710075,2322087,9606326,5435740,918543
147.029041339,3129529,11097219,5828227,1027763
53.008294919,276173,561277,278573,4810
160.030939574,2751955,10380287,5606459,1009422
66.010644845,5597279,15322968,3276385,698797
70.011275783,5577562,22461202,7672076,1383870
234.049485641,2701766,11698721,6321491,1075346
89.020545212,7125442,22931276,5654922,1134804
237.927822473,36441760,144347533,88693238,7452011
15.002190023,623399,1501660,723458,33598
44.006713180,2599271,6839876,3376518,357291
49.007505913,3834157,12598031,6706536,921924
205.044550846,4913271,26286281,16082449,1529584
145.028765205,8976694,49489232,29476818,2054243
233.049343990,2281970,9499647,5297226,967326
130.026577875,6757544,20408033,6092298,868912
197.043237660,460346,1142783,565851,35668
58.009188352,537988,1343952,687568,40511
32.004904026,6243299,17535804,6596865,506112
36.005498877,9316796,28675412,8753118,1613809
80.015695448,13912661,64403833,22042316,2387397
117.024711328,7796758,28081086,10515765,1052380
56.008889766,393976,900727,455314,31309
111.023814606,2697378,5946620,1586637,158063
182.040681154,4252303,13821780,5208708,674230
81.015856563,4401113,15163831,7034868,1436257
177.039967762,7729022,25058021,7357970,1582277
87.020269387,4087039,12794873,6202388,1022270
9.001271473,319686725,1022458374,500050171,29336110
135.027289845,4528718,11460946,2791626,444458
35.005359625,4684287,14159282,7090795,1125220
193.042526430,250616,546327,281955,5441
134.027150313,5294849,14685080,4889610,499216
79.015544275,9217468,27872140,7747503,1307806
51.007909231,93918658,302087666,159389269,12314244
39.005946591,5775904,15253184,6693759,1051104
113.024098459,4569334,17896189,8672087,1251535
114.024237565,3819355,12200662,5968770,1037374
28.004263932,4817060,12317359,3052627,507024
126.026006611,6279573,23236159,7829950,1961117
50.007698537,4009512,13212561,7060237,922700
219.047009485,328465,727851,371424,12824
206.044718930,2032377,9407638,5327534,1025217
19.002840301,3492315,12904464,6670316,639199
227.048326733,2287065,10082379,5435850,1161476
168.032127153,4073840,11766174,3462217,449062
22.003314507,9271572,32558380,10717086,1372171
52.008094965,362519,961952,576660,10126
225.048007267,1815287,8519627,4948391,654165
2.000272875,365076297,1488709496,765744535,72145536
68.010983552,11360875,46298175,14484382,1870578
207.044917058,1862323,7743634,4623845,617353
140.028046302,3566711,12933483,6467862,1396899
105.022965895,3869514,14790142,7633850,1465878
188.041601734,3305284,11396139,4827054,901646
170.032405874,4702422,13422129,3828069,539384
94.021290428,8657550,28011488,8787566,1206915
146.028905788,3170689,12245609,6655623,1092659
216.046498452,233089,513697,238292,27194
211.045550634,2288197,9355000,5203524,932194
90.020683729,3987791,12380765,6338497,931452
172.032687638,4801051,12480190,3149800,486016
204.044405363,2324042,10303132,5429382,1218490
7.000991474,218248574,909893082,482341953,41380594
124.025727584,3561271,14100564,7709506,1249132
169.032264103,4110930,11601341,3403258,455030
201.043932746,221452,675647,403146,31478
31.004741859,6965380,19477879,5951256,769851
60.009556172,2276898,8480806,4875301,638469
208.045116075,1771527,7405450,4425260,599758
185.041143143,3846811,10712325,2962560,474213
99.022065353,3633690,12092270,5850090,886955
16.002345858,637773,1643164,769712,125321
209.045281969,3085839,14881313,6308999,1281634
20.002999307,41330312,348236273,136521339,23536536
137.027590407,2783293,10355122,5638028,919984
86.020131097,5330886,13410843,3449654,567685
71.011417343,5420359,13157140,3096434,489890
29.004407768,4553676,11755885,3184109,465058
115.024393765,3433514,12777724,6573656,971613
107.023255446,4850413,21027884,8510608,1801168
154.030046243,7282659,27069964,6555842,1759208
148.029181166,2903971,10513091,5584789,981918
119.025001024,5340153,16131124,5438578,581597
98.021904423,4939126,15667472,5028424,744335
139.027879351,3356268,12986157,7277146,1024462
184.041009699,5167511,15400325,5065830,931995
149.029309936,8147875,47369467,28779248,1960559
40.006086218,3979491,12862913,6216956,946455
65.010436470,8098585,24175165,6175789,1190547
138.027735156,2853530,10469774,5522102,905868
229.048640808,2044519,9040481,5069842,983843
162.031251626,2923885,11081277,6018335,1022425
59.009349834,546242,1348746,669992,44319
54.008518974,433033,1198091,733706,14072
