time,Branch Misses,Branches,LLC References,LLC Misses
4.000568229,135261,860777,226144,25484
21.003244253,104064,735083,199607,65864
122.018380803,545142,10150860,1150943,249877
15.002224631,60187,286493,95452,22333
146.022076036,501572,10430246,826365,129906
116.017448333,524269,10117906,1010393,113900
134.020275701,245349,6318642,558674,136464
11.001605029,35013592,672059365,46717106,4639027
13.001917097,63732,341043,124068,29623
71.010869896,600640,10489087,1099436,171168
93.014139621,642554,11094332,1217763,258053
68.010389654,871056,15726740,1096999,152711
6.000884987,49064026,863575532,60545788,2782724
28.004304007,799610,13940286,1690629,316824
118.017800537,519543,10173063,850227,126291
70.010704851,160732,986985,147816,40234
85.012952786,2165779,45641207,3036340,251933
55.008449771,575105,10406771,1136983,224720
89.013553945,537041,10311113,848813,121704
137.020730374,537536,10039486,1139979,249340
126.019016646,1109064,25256445,1930413,309748
22.003395914,1168757,63492031,1683275,493545
148.022455161,498750,10049919,829744,98810
39.005990359,653915,12034096,1053651,181729
169.026161202,487235,9962663,822630,114407
125.018852491,524728,10165247,1059220,238543
99.014979987,552999,10413197,840874,112466
145.021925889,541828,10233419,1124008,189777
72.011013496,723003,12509626,983648,148264
82.012537189,705618,12024077,1122168,201999
66.010102683,637113,10918102,1233227,180275
155.023770380,52397,230793,95846,22945
75.011468358,575900,10449738,1088618,147994
156.023920704,50756,227530,87026,22170
129.019484338,845589,15033916,1398629,285226
119.017941078,521943,10130368,915946,176069
159.024449000,1266077,28509405,2280292,229790
161.024769143,425789,9511479,805832,149800
7.001026038,58684811,846596682,58062159,2828092
37.005700891,622966,10562933,1309966,335454
73.011162610,596722,10677634,1084744,132780
170.026357363,534267,10492367,836284,102326
52.008008665,620711,10590739,1190408,238607
117.017656712,624967,13869619,1052167,193300
18.002768392,4154958,137552292,8764162,1102642
27.004163422,641804,11874918,1128963,155343
58.008879573,622377,12144157,1029854,155309
81.012371181,1131816,35700975,1705589,310994
20.003091652,6229565,286310934,21271332,5076582
98.014842622,617823,14019395,1081230,206082
44.006731804,560767,10527879,869178,121012
96.014568062,1183027,28117734,1931714,175178
158.024244536,52236,228294,90551,21154
78.011932338,563818,10493237,845695,105649
64.009803076,818353,13664676,1222393,132715
94.014293214,549454,11118736,843334,134764
67.010249650,869387,14472907,1235867,189923
104.015661639,849642,14148434,1197746,129999
167.025825903,690698,12811745,911143,117398
23.003544616,598062,11153001,1176158,316857
153.023420289,66335,338743,110489,19504
124.018694282,2465373,60782741,4420011,655867
41.006295844,1013468,36453146,1565925,460074
157.024056566,53635,226866,89541,22749
90.013696871,1019422,18607401,1245458,144418
132.019986944,520178,10184679,976261,239530
112.016906897,498920,10032152,819762,107226
69.010536585,402916,9561651,731261,123304
29.004447763,2337700,44470773,3012092,303669
151.023023127,68588,350190,116705,7940
111.016771041,509470,10042056,916720,113790
63.009641135,597720,10675811,903634,120710
46.007040079,849476,14662827,1265103,172712
43.006583248,130043,739944,177028,22588
53.008151370,756809,12173645,1231145,274042
1.000103861,40548214,675144186,43144086,2864945
91.013834709,546435,10467073,852235,110535
60.009187517,593829,10614765,1108074,124495
32.004914087,940278,16373344,1492894,207530
166.025682967,627447,14293727,1019239,195074
35.005391280,582289,10640432,1281654,280382
86.013110144,539583,10319566,839590,118233
2.000256447,79998468,1470975888,80054229,5936050
147.022262997,485583,9970412,812285,103207
84.012812265,706098,12995734,1004495,130785
115.017309011,511846,10122517,883450,115142
77.011797745,2470620,51820549,3156160,224690
106.016016753,689704,13130048,970873,125456
25.003889393,507936,10367577,881043,122802
160.024616617,955028,18333995,1241189,145672
149.022651599,10315903,143501523,16943103,1100605
162.024913239,443936,9504875,878499,118837
12.001762575,11186873,197048019,13068422,884098
30.004598701,576391,10742485,913969,141532
150.022850320,4108643,61245709,3964309,205082
38.005840792,700833,11494900,1245766,268730
74.011310534,945633,17145663,1501789,173866
88.013411335,982621,16703749,1254894,163719
48.007405059,573686,10539415,1076546,155742
16.002409348,10656341,403769175,23176462,1703787
113.017042995,520155,10231979,838313,115383
120.018105646,762117,12444779,1357617,272287
36.005548948,612179,10612349,1140482,306154
8.001168257,14075754,977730237,48810515,1601961
138.020900946,797784,14854197,1290328,217497
108.016321408,576594,10976582,868015,140754
97.014702136,634482,11707037,941747,140595
114.017178173,583424,11192613,879437,123456
56.008596505,579655,10513069,1007767,135020
144.021789427,594846,11091863,1221477,240545
31.004748979,2836274,83803757,4376953,434932
42.006442808,494830,10121210,986418,176526
100.015118108,528676,10124892,975884,162888
54.008291372,724293,12266267,1226472,276044
135.020437969,437718,6408339,564371,95889
62.009496863,644773,11003592,1034752,145546
