time,Instructions Retired(user mode),Unhalted Core Cycles(user mode),Instructions Retired(system mode),Unhalted Core Cycles(system mode)
108.108988467,55215319,51518242,734195,2022208
223.131446865,13886119,22171634,171292,801579
167.121446429,53160145,47604580,783669,2260348
172.122163338,53566138,76859601,794417,2777874
196.127031187,1102574,3481464,167917,678800
233.133224257,85617360,90120814,1723072,10857821
117.110233975,80298436,77268947,800686,2368280
61.009691283,71734434,65853826,789254,2309319
144.118019237,310573070,241226015,828051,2467112
104.016107231,60442417,81723037,814535,2930255
18.003002893,1451655178,1011111358,18171426,25636700
37.005899970,14414123,22281505,270320,1011014
90.014010865,55970577,84669871,808101,3133372
119.110512443,64385650,73336647,822332,2713228
171.122022619,53586196,75727555,818676,2775359
103.015944092,55630161,80902482,831580,2867665
6.000964825,4092471031,4596543221,26480913,49471927
33.005277281,68142046,72357622,766709,2336399
127.111646757,64510695,62014214,814471,2259905
134.116546297,87709553,98355462,873405,2818519
64.010172766,148644964,207899574,898993,4021705
96.014925895,63526549,68473603,843363,2285552
132.116259481,54418329,49590796,763801,2133760
217.130474180,1148818,3099884,148385,604230
192.126324760,1134457,3123555,167528,677190
187.125468828,57942113,54185050,759016,2201589
184.125059510,70496132,76045884,762880,2542150
97.015074114,56774681,56776255,793747,2331590
76.011968286,38998265,52054780,526626,2026105
88.013739123,72145973,104253562,1396470,3917835
4.000665468,4815440,9567624,1132582,3631705
44.006861754,70546498,70366531,838850,2366440
218.130646358,1100962,3238746,142332,588833
142.117713047,71902479,110416515,1376788,4118319
42.006599865,62903784,60621477,817639,2326389
19.003169439,72742498,64008978,804495,2347143
99.015366933,57706650,54646600,726810,2023790
114.109835636,55090647,50720318,736469,2314065
107.108849644,90301472,158991226,1764514,4960990
85.013309027,61701404,86133297,791861,2814761
67.010634567,85371096,134763010,858037,3516101
78.012260152,55756291,94958263,803998,3578575
36.005735680,80643158,93956109,888372,2844538
141.117571296,54433506,54732110,820297,2365222
115.109963427,70926344,67944981,839546,2610028
147.118468756,55057869,51478047,815327,2168192
23.003793259,55382763,79481620,933513,3571573
14.002314377,1656536,5105254,142036,677620
228.132346427,50517709,43826239,711296,2118620
157.119948939,60431571,59869494,743900,2196717
41.006471922,58189772,55376126,740824,2095422
221.131171278,1110081,4012817,145238,637739
183.124903566,100702988,82498322,742595,2379054
237.133875596,52986622,43989120,750808,2009237
124.111222581,87760092,121120192,1509321,4080862
16.002600548,1605348,5483546,152055,749845
1.000112133,3801121183,3580609652,128310619,208991379
118.110374410,55024883,75928215,722175,2574247
71.011220788,56044153,81852847,829749,2791449
227.132211531,77692562,80667960,808752,2561076
210.129328018,51944375,45614296,739185,2344992
20.003331076,1128860929,1292456713,3028417,11382098
95.014785308,90771418,133158271,1742124,4932439
28.004540996,56074646,78741665,753891,2485778
220.131028079,1110079,3456615,176875,669414
138.117137604,49110590,39432479,585958,1549536
38.006034966,51548470,71482000,718679,2457644
170.121878812,53101777,74327483,814141,2887180
200.127680287,63984116,53093650,1053234,2821197
109.109128775,54881219,67758698,780785,2481824
199.127499778,1102745,4221168,148010,727399
194.126670508,1102564,2890198,149675,585397
232.133064023,51753449,42021859,739505,1960460
15.002449566,1539041,5198468,149752,731660
211.129472636,51848618,46239548,708935,2177720
120.110644877,62971348,64722693,737508,2127652
113.109699320,87699947,123811537,815550,2902035
150.118924195,55101951,50615547,742564,2143805
195.126834372,1102992,3009589,155677,618335
30.004844375,57352139,79885329,825279,3006005
17.002801685,354121573,269020838,2355942,5429260
180.123352849,367539848,328736407,906860,3177927
121.110776117,175009935,187263152,860142,2521538
193.126502327,1102567,3111387,141775,580029
66.010465508,53382957,64686349,871980,2622457
43.006734326,57931314,54680234,712394,1953643
136.116837381,59382297,58679851,740555,2184972
181.123488188,54113526,72977604,740751,2607593
105.016261177,63088201,104869129,875241,3753843
188.125603807,53316597,47330758,725215,2128664
50.007772175,1456447733,1452200334,24289032,76899313
169.121742884,53551340,52888845,780471,2340461
13.002150919,3217551703,3127349798,33775486,118780274
25.004096129,54407968,80012963,780880,2725994
32.005139126,57914547,82657190,743557,2440749
154.119530896,56263443,51922808,731136,2204534
158.120090813,67670945,74220209,1566829,3427080
162.120661293,60839730,56038586,752073,2313245
22.003645183,100318170,145442310,943471,3973712
137.116996875,54277508,51984435,739311,2118709
231.132859975,67649006,58863214,752664,2075503
98.015223997,93548813,103237368,832263,2612757
203.128205838,51116264,46118901,729375,2247080
216.130277307,3767334,7520237,258410,1036916
238.139101832,0,0,9392007,9625315
92.014330852,73047498,120853175,898887,3948836
31.004996683,65670074,87635159,871165,2991873
176.122781506,35551293,46272638,483280,1701349
230.132654658,52102648,48209880,730158,2027434
84.013147226,55993128,55959327,767045,2145382
2.000304441,8264731505,7144635380,60520792,136792224
201.127884241,87199530,67066275,1213323,3155063
86.013457781,56582442,81699024,757372,2755563
140.117418782,55712971,52421310,745870,2237868
5.000825444,5660965270,4791567048,57871067,122455506
10.001611733,3103141085,3511899539,28325021,96877833
80.012552050,63452449,110618484,837222,3636131
205.128496856,71654679,78878507,1339314,3336197
8.001328529,5175101713,2949593961,19101337,39526502
149.118791544,383224567,413435141,897604,3320473
72.011376936,55531962,77408174,820870,2645550
59.009336520,1305605,5320219,159291,740682
139.117285134,5193579,13771223,204200,953529
77.012107474,81051095,124176757,836902,3508481
79.012407253,68146112,103933828,830565,3257061
224.131618810,1096574,3967276,147250,653320
152.119201947,53762756,48278381,715325,2165657
45.006988041,58930731,56242692,722841,2052743
46.007114921,80313683,84374709,750631,2159890
161.120515815,62590030,56832790,720827,2138717
214.129932115,59946251,51393531,769337,2076069
197.127193235,1104361,4340866,157762,799878
126.111515662,60970573,57725272,765656,2294028
11.001812317,3633327937,3781948827,37250537,128391673
229.132486239,50497410,43145369,709137,1960802
52.008135421,1933605,4999803,163019,650468
87.013603028,57532671,55916753,752878,2111682
83.013002288,57321803,90257660,898827,3192627
9.001473355,4318031528,4853857908,24220865,61741936
69.010929609,106662042,178640557,1717547,4843274
7.001110913,4672974395,4858769291,16877669,45042132
177.122921533,274962065,316745062,561646,2548289
91.014151672,150441616,211816164,952551,4206874
179.123218348,305591611,276197331,883628,3372024
209.129186086,51862584,42470914,772624,2161409
53.008334495,1312119,3390274,152842,621179
178.123060542,54296481,54319504,773409,2666111
21.003488759,1568131369,1634097666,5381248,14045713
47.007287416,58832055,56618660,731533,2096743
125.111365054,54949165,51717773,726372,2025614
129.111920356,54441606,50976913,741976,2172017
182.123640505,53049803,47308392,712003,2168125
123.111076791,59401235,57130746,727610,1997279
130.112068886,53940682,79713256,799976,2992339
89.013875559,62833064,82232282,817779,2778136
93.014473943,84670056,121273112,813778,3406929
49.007596555,62841031,60678069,756383,2151924
168.121608746,60980010,83230883,803636,2945926
51.007956570,127992458,100265629,374570,1502730
131.116077994,54671639,84807647,831188,3217852
116.110097787,55145436,51994885,726432,2137218
24.003943454,61300451,93184880,809462,3229697
3.000476880,4552999049,4140896398,55669267,86527130
219.130832942,1100955,2950607,142326,583191
173.122307476,53095232,73702309,800143,2737995
81.012703074,189493970,255483166,903646,3451247
159.120225700,53849135,48088082,702418,1917021
225.131818437,152527163,123492874,2260992,5710415
234.133373193,52692373,46659715,709174,2049723
160.120368678,53691356,47648498,741752,1952581
12.001974505,4207431438,3928158448,25320857,97503807
94.014643776,63205738,94473232,886930,3304562
151.119061378,53740813,47797469,712630,2029859
235.133516364,52006465,59967389,744907,2525115
189.125750359,52994929,46984645,837642,2228063
112.109563262,102381093,97495038,806168,2301771
156.119817623,53268062,77071055,774670,2923202
62.009862371,53310740,84273777,780905,3281500
110.109269717,60535336,62927573,778525,2251573
